variable,PercAb
N1.1_N1,0.06666667
N1.1_N2,0.16666667
N1.2_N1,0.13333333
N1.2_N2,0.06666667
N2.1_N1,0.2
N2.1_N2,0.3
N2.2_N1*,0.2
N2.2_N2,0.13333333
N2.2_N1*redo,0.2
N1.1_U1,0
N1.1_U2,0.06666667
N1.2_U1,0.05263158
N1.2_U2,0.04166667
N2.1_U1,0.2631579
N2.1_U2,0.2
N2.2_U1,0.22580645
N2.2_U2,0.16666667
U1.1_N1,0.4516129
U1.1_N2,0.55882353
U1.2_N1,0.475
U1.2_N2,0.55172414
U2.1_N1,0.06730769
U2.1_N2,0.125
U2.2_N1,0.05376344
U2.2_N2,0.06741573
U1.1_U1,0.68181818
U1.1_U2,0.6122449
U1.2_U1,0.61538462
U1.2_U2,0.58333333
U2.1_U1,0.23684211
U2.1_U2,0.125
U2.2_U1,0.25531915
U2.2_U2,0.0875
N3.3_N1,0.02857143
N3.3_N2,0.01086957
N3.4_N1,0
N3.4_N2,0.1
N4.3_N1,0.03896104
N4.3_N2,0.11111111
N4.4_N1,0.0326087
N4.4_N2,0.02777778
N3.3_U1,0.09090909
N3.3_U2,0.03125
N3.4_U1,0.13888889
N3.4_U2,0.06206897
N4.3_U1,0.08219178
N4.3_U2,0.04794521
N4.4_U1,0.06451613
N4.4_U2,0.04705882
U3.3_N1,0.0212766
U3.3_N2,0.06542056
U3.4_N1,0.05555556
U3.4_N2,0.09615385
U4.3_N1,0.02727273
U4.3_N2,0.03809524
U4.4_N1,0.03571429
U4.4_N2,0.05952381
U3.3_U1,0.0516129
U3.3_U2,0.07017544
U3.4_U1,0.02857143
U3.4_U2,0.06779661
U4.3_U1,0.05172414
U4.3_U2,0.07462687
U4.4_U1,0.10236221
U4.4_U2,0.09278351
N5.5_N1,0.43478261
N5.5_N2,0.46153846
N5.6_N1,0.14285714
N5.6_N2,0.14159292
N6.5_N1,0.40697674
N6.5_N2,0.71428571
N6.6_N1,0.20560748
N6.6_N2,0.26213592
N5.5_U1,0.32142857
N5.5_U2,0.34883721
N5.6_U1,0.23333333
N5.6_U2,0.18627451
N6.5_U1,0.40151515
N6.5_U2,0.35658915
N6.6_U1,0.30952381
N6.6_U2,0.21348315
U5.5_N1,0.21839081
U5.5_N2,0.14893617
U5.6_N1,0.21428571
U5.6_N2,0.16666667
U6.5_N1,0.25974026
U6.5_N2,0.32051282
U6.6_N1,0.22580645
U6.6_N2,0.2265625
U5.5_U1,0.26136364
U5.5_U2,0.22522523
U5.6_U1,0.20731707
U5.6_U2,0.21052632
U6.5_U1,0.53968254
U6.5_U2,0.31538462
U6.6_U1,0.16197183
U6.6_U2,0.21768708
N7.7_N1,0.13821138
N7.7_N2,0.39047619
N7.8_N1,0.25
N7.8_N2,0.08108108
N8.7_N1,0.17272727
N8.7_N2,0.06306306
N8.8_N1,0.44186047
N8.8_N2,0.37735849
N7.7_U1,0.28
N7.7_U2,0.27407407
N7.8_U1,0.11702128
N7.8_U2,0.13913044
N8.7_U1,0.15267176
N8.7_U2,0.15476191
N8.8_U1,0.609375
N8.8_U2,0.51764706
U7.7_N1,0.02919708
U7.7_N2,0.07692308
U7.8_N1,0.03174603
U7.8_N2,0.04166667
U8.7_N1,0.08571429
U8.7_N2,0.03968254
U8.8_N1,0.07058824
U8.8_N2,0.11111111
U7.7_U1,0.08474576
U7.7_U2,0.11594203
U7.8_U1,0.07142857
U7.8_U2,0.16438356
U8.7_U1,0.08888889
U8.7_U2,0.09803922
U8.8_U1,0.10273973
U8.8_U2,0.176
N9.9_N1,0.03355705
N9.9_N2,0.11347518
N9.10_N1,0.15789474
N9.10_N2,0.16455696
N10.9_N1,0.01470588
N10.9_N2,0.05384615
N10.10_N1,0.11320755
N10.10_N2,0.05263158
N9.9_U1,0.08064516
N9.9_U2,0.06796117
N9.10_U1,0.125
N9.10_U2,0.09322034
N10.9_U1,0.03092784
N10.9_U2,0
N10.10_U1,0.1
N10.10_U2,0.04040404
U9.9_N1,0.31578947
U9.9_N2,0.42028986
U9.10_N1,0.42682927
U9.10_N2,0.26506024
U10.9_N1,0.39361702
U10.9_N2,0.40229885
U10.10_N1,0.27586207
U10.10_N2,0.17171717
U9.9_U1,0.375
U9.9_U2,0.35897436
U9.10_U1,0.40476191
U9.10_U2,0.37096774
U10.9_U1,0.32758621
U10.9_U2,0.30769231
U10.10_U1,0.11666667
U10.10_U2,0.22580645