ID,Dam,Sire,F0_env,F1_env
N11_N,N1,N1,N,N
N12_N,N1,N2,N,N
N21_N,N2,N1,N,N
N22_N,N2,N2,N,N
N33_N,N3,N3,N,N
N34_N,N3,N4,N,N
N43_N,N4,N3,N,N
N44_N,N4,N4,N,N
N55_N,N5,N5,N,N
N56_N,N5,N6,N,N
N65_N,N6,N5,N,N
N66_N,N6,N6,N,N
N77_N,N7,N7,N,N
N78_N,N7,N8,N,N
N87_N,N8,N7,N,N
N88_N,N8,N8,N,N
N99_N,N9,N9,N,N
N910_N,N9,N10,N,N
N109_N,N10,N9,N,N
N1010_N,N10,N10,N,N
N11_U,N1,N1,N,U
N12_U,N1,N2,N,U
N21_U,N2,N1,N,U
N22_U,N2,N2,N,U
N33_U,N3,N3,N,U
N34_U,N3,N4,N,U
N43_U,N4,N3,N,U
N44_U,N4,N4,N,U
N55_U,N5,N5,N,U
N56_U,N5,N6,N,U
N65_U,N6,N5,N,U
N66_U,N6,N6,N,U
N77_U,N7,N7,N,U
N78_U,N7,N8,N,U
N87_U,N8,N7,N,U
N88_U,N8,N8,N,U
N99_U,N9,N9,N,U
N910_U,N9,N10,N,U
N109_U,N10,N9,N,U
N1010_U,N10,N10,N,U
U11_N,U1,U1,U,N
U12_N,U1,U2,U,N
U21_N,U2,U1,U,N
U22_N,U2,U2,U,N
U33_N,U3,U3,U,N
U34_N,U3,U4,U,N
U43_N,U4,U3,U,N
U44_N,U4,U4,U,N
U55_N,U5,U5,U,N
U56_N,U5,U6,U,N
U65_N,U6,U5,U,N
U66_N,U6,U6,U,N
U77_N,U7,U7,U,N
U78_N,U7,U8,U,N
U87_N,U8,U7,U,N
U88_N,U8,U8,U,N
U99_N,U9,U9,U,N
U910_N,U9,U10,U,N
U109_N,U10,U9,U,N
U1010_N,U10,U10,U,N
U11_U,U1,U1,U,U
U12_U,U1,U2,U,U
U21_U,U2,U1,U,U
U22_U,U2,U2,U,U
U33_U,U3,U3,U,U
U34_U,U3,U4,U,U
U43_U,U4,U3,U,U
U44_U,U4,U4,U,U
U55_U,U5,U5,U,U
U56_U,U5,U6,U,U
U65_U,U6,U5,U,U
U66_U,U6,U6,U,U
U77_U,U7,U7,U,U
U78_U,U7,U8,U,U
U87_U,U8,U7,U,U
U88_U,U8,U8,U,U
U99_U,U9,U9,U,U
U910_U,U9,U10,U,U
U109_U,U10,U9,U,U
U1010_U,U10,U10,U,U