ID,Dam,Sire,Int
N1N1_N,DN1,SN1,1
N1N2_N,DN1,SN2,2
N2N1_N,DN2,SN1,3
N2N2_N,DN2,SN2,4
N3N3_N,DN3,SN3,5
N3N4_N,DN3,SN4,6
N4N3_N,DN4,SN3,7
N4N4_N,DN4,SN4,8
N5N5_N,DN5,SN5,9
N5N6_N,DN5,SN6,10
N6N5_N,DN6,SN5,11
N6N6_N,DN6,SN6,12
N7N7_N,DN7,SN7,13
N7N8_N,DN7,SN8,14
N8N7_N,DN8,SN7,15
N8N8_N,DN8,SN8,16
N9N9_N,DN9,SN9,17
N9N10_N,DN9,SN10,18
N10N9_N,DN10,SN9,19
N10N10_N,DN10,SN10,20
N1N1_U,DN1,SN1,1
N1N2_U,DN1,SN2,2
N2N1_U,DN2,SN1,3
N2N2_U,DN2,SN2,4
N3N3_U,DN3,SN3,5
N3N4_U,DN3,SN4,6
N4N3_U,DN4,SN3,7
N4N4_U,DN4,SN4,8
N5N5_U,DN5,SN5,9
N5N6_U,DN5,SN6,10
N6N5_U,DN6,SN5,11
N6N6_U,DN6,SN6,12
N7N7_U,DN7,SN7,13
N7N8_U,DN7,SN8,14
N8N7_U,DN8,SN7,15
N8N8_U,DN8,SN8,16
N9N9_U,DN9,SN9,17
N9N10_U,DN9,SN10,18
N10N9_U,DN10,SN9,19
N10N10_U,DN10,SN10,20
U1U1_N,DU1,SU1,21
U1U2_N,DU1,SU2,22
U2U1_N,DU2,SU1,23
U2U2_N,DU2,SU2,24
U3U3_N,DU3,SU3,25
U3U4_N,DU3,SU4,26
U4U3_N,DU4,SU3,27
U4U4_N,DU4,SU4,28
U5U5_N,DU5,SU5,29
U5U6_N,DU5,SU6,30
U6U5_N,DU6,SU5,31
U6U6_N,DU6,SU6,32
U7U7_N,DU7,SU7,33
U7U8_N,DU7,SU8,34
U8U7_N,DU8,SU7,35
U8U8_N,DU8,SU8,36
U9U9_N,DU9,SU9,37
U9U10_N,DU9,SU10,38
U10U9_N,DU10,SU9,39
U10U10_N,DU10,SU10,40
U1U1_U,DU1,SU1,21
U1U2_U,DU1,SU2,22
U2U1_U,DU2,SU1,23
U2U2_U,DU2,SU2,24
U4U3_U,DU4,SU3,25
U4U4_U,DU4,SU4,26
U5U5_U,DU5,SU5,27
U5U6_U,DU5,SU6,28
U6U5_U,DU6,SU5,29
U6U6_U,DU6,SU6,30
U7U7_U,DU7,SU7,31
U7U8_U,DU7,SU8,32
U8U7_U,DU8,SU7,33
U8U8_U,DU8,SU8,34
U9U9_U,DU9,SU9,35
U9U10_U,DU9,SU10,36
U10U9_U,DU10,SU9,37
U10U10_U,DU10,SU10,38
,,,39
,,,40